EmployeeCode,AbsentDates,TotalPresent,TotalAbsent
PSI - 3092,0,14,17
PSI - 3095,0,10,21
PSI - 3096,0,19,12
PSI - 3098,0,18,13
PSI - 3102,0,10,21
PSI - 3104,0,15,16
PSI - 3105,0,19,12
PSI - 3106,0,14,17
PSI - 3107,0,18,13
PSI - 3109,0,14,17
PSI - 3111,0,18,13
PSI - 3112,0,0,31
PSI - 3113,0,0,31
PSI - 3114,0,0,31
PSI - 3115,0,0,31
PSI - 3116,0,0,31
PSI - 3119,0,18,13
PSI - 3120,0,20,11
PSI - 3121,0,21,10
PSI - 3122,0,24,7
PSI - 3123,0,0,31
PSI - 3125,0,0,31
PSI - 3126,0,5,26
PSI - 3128,0,8,23
PSI - 3129,0,0,31
PSI - 3130,0,20,11
PSI - 3132,0,0,31
PSI - 3133,0,21,10
PSI - 3135,0,17,14
PSI - 3136,0,14,17
PSI - 3137,0,14,17
PSI - 3139,0,13,18
PSI - 3141,0,19,12
PSI - 3142,0,16,15
PSI - 3144,0,12,19
PSI - 3146,0,19,12
PSI - 3149,0,0,31
PSI - 3150,0,8,23
PSI - 3151,0,18,13
PSI - 3153,0,22,9
PSI - 3154,0,12,19
PSI - 3156,0,0,31
PSI - 3157,0,0,31
PSI - 3158,0,22,9
PSI - 3159,0,21,10
PSI - 3161,0,14,17
PSI - 3163,0,8,23
PSI - 3165,0,10,21
PSI - 3167,0,9,22
PSI - 3168,0,3,28
PSI - 3169,0,0,31
PSI - 3170,0,10,21
PSI - 3171,0,19,12
PSI - 3174,0,18,13
PSI - 3175,0,20,11
PSI - 3176,0,17,14
PSI - 3179,0,22,9
PSI - 3180,0,19,12
PSI - 3182,0,14,17
PSI - 3183,0,7,24
PSI - 3184,0,0,31
PSI - 3185,0,23,8
PSI - 3187,0,0,31
PSI - 3188,0,11,20
PSI - 3189,0,20,11
PSI - 3190,0,16,15
PSI - 3192,0,15,16
PSI - 3193,0,3,28
PSI - 3195,0,0,31
PSI - 3197,0,0,31
PSI - 3198,0,3,28
PSI - 3199,0,20,11
PSI - 3201,0,11,20
PSI - 3202,0,21,10
PSI - 3203,0,21,10
PSI - 3204,0,0,31
PSI - 3205,0,16,15
PSI - 3206,0,21,10
PSI - 3207,0,19,12
PSI - 3208,0,2,29
PSI - 3209,0,21,10
PSI - 3210,0,20,11
PSI - 3211,0,21,10
PSI - 3212,0,21,10
PSI - 3215,0,14,17
PSI - 3218,0,1,30
PSI - 3219,0,13,18
PSI - 3221,0,16,15
PSI - 3224,0,17,14
PSI - 3225,0,20,11
PSI - 3227,0,21,10
PSI - 3228,0,21,10
PSI - 3229,0,7,24
PSI - 3231,0,18,13
PSI - 3232,0,19,12
PSI - 3235,0,0,31
PSI - 3236,0,19,12
PSI - 3237,0,10,21
PSI - 3238,0,0,31
PSI - 3240,0,19,12
PSI - 3241,0,19,12
PSI - 3242,0,16,15
PSI - 3243,0,4,27
PSI - 3244,0,18,13
PSI - 3245,0,20,11
PSI - 3246,0,2,29
PSI - 3247,0,20,11
PSI - 3249,0,0,31
PSI - 3250,0,0,31
PSI - 3251,0,0,31
PSI - 3252,0,0,31
PSI - 3253,0,18,13
PSI - 3254,0,1,30
PSI - 3255,0,9,22
PSI - 3256,0,20,11
PSI - 3257,0,19,12
PSI - 3258,0,19,12
PSI - 3259,0,18,13
PSI - 3260,0,0,31
PSI - 3261,0,0,31
PSI - 3262,0,18,13
PSI - 3263,0,17,14
PSI - 3264,0,9,22
PSI - 3266,0,0,31
PSI - 3268,0,13,18
PSI - 3269,0,12,19
PSI - 3271,0,9,22
PSI - 3272,0,21,10
PSI - 3273,0,17,14
PSI - 3274,0,0,31
PSI - 3275,0,0,31
PSI - 3276,0,0,31
PSI - 3277,0,0,31
PSI - 3278,0,0,31
PSI - 3279,0,0,31
PSI - 3280,0,0,31
PSI - 3281,0,0,31
PSI - 3282,0,0,31
PSI - 3283,0,0,31
PSI - 3284,0,0,31
PSI - 3285,0,0,31
PSI - 3288,0,19,12
PSI - 3289,0,16,15
PSI - 3290,0,3,28
PSI - 3294,0,20,11
PSI - 3295,0,22,9
PSI - 3296,0,21,10
PSI - 3297,0,15,16
PSI - 3298,0,25,6
PSI - 3299,0,16,15
PSI - 3301,0,15,16
PSI - 3303,0,19,12
PSI - 3304,0,18,13
PSI - 3305,0,17,14
PSI - 3306,0,9,22
PSI - 3307,0,12,19
PSI - 3308,0,18,13
PSI - 3309,0,20,11
PSI - 3310,0,20,11
PSI - 3310,0,0,31
PSI - 3311,0,0,31
PSI - 3312,0,0,31
PSI - 3313,0,21,10
PSI - 3314,0,21,10
PSI - 3316,0,16,15
PSI - 3318,0,19,12
PSI - 3320,0,21,10
PSI - 3321,0,18,13
PSI - 3323,0,0,31
PSI - 3324,0,15,16
PSI - 3327,0,20,11
PSI - 3328,0,0,31
PSI - 3329,0,20,11
PSI - 3330,0,13,18
PSI - 3331,0,18,13
PSI - 3332,0,21,10
PSI - 3333,0,16,15
PSI - 3334,0,20,11
PSI - 3342,0,20,11
PSI - 3344,0,24,7
PSI - 3345,0,18,13
PSI - 3346,0,0,31
PSI - 3347,0,17,14
PSI - 3348,0,21,10
PSI - 3349,0,6,25
PSI - 3350,0,10,21
PSI - 3351,0,16,15
PSI - 3353,0,0,31
PSI - 3354,0,16,15
PSI - 3355,0,21,10
PSI - 3356,0,14,17
PSI - 3357,0,17,14
PSI - 3358,0,14,17
PSI - 3360,0,15,16
PSI - 3362,0,8,23
PSI - 3363,0,18,13
PSI - 3364,0,0,31
PSI - 3365,0,21,10
PSI - 3366,0,19,12
PSI - 3367,0,2,29
PSI - 3368,0,3,28
PSI - 3369,0,16,15
PSI - 3370,0,17,14
PSI - 3371,0,0,31
PSI - 3372,0,21,10
PSI - 3373,0,19,12
PSI - 3374,0,4,27
PSI - 3377,0,15,16
PSI - 3378,0,8,23
PSI - 3379,0,11,20
PSI - 3380,0,17,14
PSI - 3382,0,17,14
PSI - 3383,0,16,15
PSI - 3385,0,19,12
PSI - 3386,0,10,21
PSI - 3387,0,21,10
PSI - 3388,0,7,24
PSI - 3391,0,17,14
PSI - 3392,0,17,14
PSI - 3393,0,20,11
PSI - 3394,0,0,31
PSI - 3395,0,0,31
PSI - 3396,0,5,26
PSI - 3397,0,21,10
PSI - 3398,0,23,8
PSI - 3399,0,21,10
PSI - 3400,0,18,13
PSI - 3402,0,13,18
PSI - 3403,0,23,8
PSI - 3404,0,17,14
PSI - 3406,0,5,26
PSI - 3407,0,0,31
PSI - 3408,0,0,31
PSI - 3409,0,21,10
PSI - 3410,0,19,12
PSI - 3412,0,20,11
PSI - 3413,0,19,12
PSI - 3414,0,0,31
PSI - 3415,0,18,13
PSI - 3416,0,6,25
PSI - 3417,0,17,14
PSI - 3418,0,21,10
PSI - 3419,0,19,12
PSI - 3420,0,18,13
PSI - 3421,0,19,12
PSI - 3422,0,20,11
PSI - 3424,0,17,14
PSI - 3425,0,0,31
PSI - 3426,0,19,12
PSI - 3427,0,19,12
PSI - 3431,0,11,20
PSI - 3432,0,18,13
PSI - 3433,0,18,13
PSI - 3434,0,18,13
PSI - 3436,0,19,12
PSI - 3437,0,19,12
PSI - 3438,0,21,10
PSI - 3439,0,0,31
PSI - 3440,0,21,10
PSI - 3441,0,20,11
PSI - 3442,0,21,10
PSI - 3443,0,23,8
PSI - 3444,0,22,9
PSI - 3445,0,20,11
PSI - 3446,0,21,10
PSI - 3447,0,20,11
PSI - 3448,0,21,10
PSI - 3449,0,20,11
PSI - 3451,0,19,12
PSI - 3452,0,19,12
PSI - 3453,0,21,10
PSI - 3454,0,18,13
PSI - 3455,0,23,8
PSI - 3456,0,23,8
PSI - 3457,0,17,14
PSI - 3458,0,21,10
PSI - 3459,0,21,10
PSI - 3460,0,20,11
PSI - 3461,0,19,12
PSI - 3462,0,20,11
PSI - 3463,0,20,11
PSI - 3464,0,22,9
PSI - 3465,0,23,8
PSI - 3466,0,20,11
PSI - 3467,0,20,11
PSI - 3468,0,20,11
PSI - 3469,0,16,15
PSI - 3470,0,19,12
PSI - 3471,0,15,16
PSI - 3472,0,19,12
PSI - 3473,0,15,16
PSI - 3474,0,15,16
PSI - 3475,0,20,11
PSI - 3476,0,13,18
PSI - 3477,0,20,11
PSI - 3478,0,20,11
PSI - 3479,0,20,11
PSI - 3480,0,21,10
PSI - 3481,0,16,15
PSI - 3482,0,21,10
PSI - 3483,0,18,13
PSI - 3484,0,20,11
PSI - 3485,0,2,29
PSI - 3486,0,6,25
PSI - 3488,0,0,31
PSI - 3489,0,9,22
PSI - 3490,0,11,20
PSI - 3491,0,11,20
PSI - 3493,0,20,11
PSI - 3494,0,0,31
PSI - 3495,0,20,11
PSI - 3497,0,13,18
PSI - 3499,0,18,13
PSI - 3500,0,13,18
PSI - 3503,0,17,14
PSI - 3505,0,17,14
PSI - 3506,0,0,31
PSI - 3508,0,19,12
PSI - 3509,0,0,31
PSI - 3510,0,14,17
PSI - 3511,0,0,31
PSI - 3512,0,0,31
PSI - 3513,0,0,31
PSI - 3514,0,7,24
PSI - 3515,0,0,31
PSI - 3518,0,19,12
PSI - 3519,0,18,13
PSI - 3521,0,1,30
PSI - 3522,0,19,12
PSI - 3524,0,18,13
PSI - 3525,0,21,10
PSI - 3526,0,13,18
PSI - 3527,0,0,31
PSI - 3527,0,8,23
PSI - 3528,0,0,31
PSI - 3528,0,19,12
PSI - 3529,0,0,31
PSI - 3529,0,22,9
PSI - 3530,0,0,31
PSI - 3530,0,21,10
PSI - 3531,0,19,12
PSI - 3532,0,21,10
PSI - 3533,0,15,16
PSI - 3534,0,19,12
PSI - 3535,0,10,21
PSI - 3536,0,14,17
PSI - 3537,0,0,31
PSI - 3538,0,14,17
PSI - 3539,0,12,19
PSI - 3540,0,13,18
PSI - 3541,0,11,20
PSI - 3543,0,3,28
PSI - 3544,0,7,24
PSI - 3545,0,3,28
PSI - 3546,0,4,27
PSI - 3547,0,2,29
PSI - 3548,0,0,31
PSI - 3549,0,0,31
PSI - 3550,0,0,31
PSI - 3551,0,0,31
PSI - 3553,0,0,31
PSI - 3554,0,0,31
PSI - 3555,0,0,31
PSI - 3556,0,0,31
PSI - 3557,0,0,31
PSI - 4001,0,0,31
PSI - 4002,0,0,31
PSI - 4003,0,0,31
PSI - 4004,0,0,31
PSI - 4005,0,0,31
PSI - 4005,0,0,31
SSS - 043,0,26,5
SSS - 049,0,0,31
SSS - 050,0,8,23
SSS - 067,0,24,7
SSS - 083,0,31,0
SSS - 084,0,30,1
SSS - 095,0,23,8
